Business Name,Address Line 1,Address Line 2,Address Line 3,Postcode,Business Type ID,Business Type Description,Food Hygiene Rating Scheme ID,Food Hygiene Rating Scheme Type,Hygiene Score,Structural Score,Confidence In Management Score,Rating Value,Rating Date,New Rating Pending,Local Authority Business ID,Local Authority Code,Local Authority Name,Local Authority Email Address,Local Authority Website,Ward Code,Ward Name,Easting,Northing,Longitude,Latitude,Spatial Accuracy,Last Uploaded,Location,Organisation URI,:@computed_region_hxwp_gyfc,:@computed_region_6i9a_26nj
Vanathy Food and Wine,,70a-78a St Paul's Crescent,,NW1 9XZ,4613,Retailers - other,1063478,FHRS,5,5,5,5,31/05/2018,False,193658,506,Camden,foodsafety@camden.gov.uk,http://www.camden.gov.uk,E05000131,Cantelowes,529833,184233,-0.129188,51.542073,Unknown,12/01/2020,"(51.542073, -0.129188)",http://opendatacommunities.org/id/london-borough-council/camden,4,27
Betjeman Arms,"Unit 53, St Pancras International Station",Euston Road,,N1C 4QL,7843,Pub/bar/nightclub,1006886,FHRS,5,5,5,5,03/10/2019,False,84332,506,Camden,foodsafety@camden.gov.uk,http://www.camden.gov.uk,E05000143,St Pancras and Somers Town,530075,183055,-0.126121,51.53143,Unknown,12/01/2020,"(51.53143, -0.126121)",http://opendatacommunities.org/id/london-borough-council/camden,16,112
Kyseri,,64 Grafton Way,,W1T 5DP,1,Restaurant/Cafe/Canteen,1125772,FHRS,10,5,10,3,19/03/2019,False,194718,506,Camden,foodsafety@camden.gov.uk,http://www.camden.gov.uk,E05000129,Bloomsbury,529255,182146,-0.138284,51.52344,Unknown,12/01/2020,"(51.52344, -0.138284)",http://opendatacommunities.org/id/london-borough-council/camden,2,13
Torriano Junior School,Torriano Junior And Infant Sch,Torriano Avenue,,NW5 2SJ,7845,School/college/university,423990,FHRS,0,0,0,5,20/05/2019,False,1769,506,Camden,foodsafety@camden.gov.uk,http://www.camden.gov.uk,E05000139,Kentish Town,529559,185073,-0.132815,51.549675,Unknown,12/01/2020,"(51.549675, -0.132815)",http://opendatacommunities.org/id/london-borough-council/camden,12,85
Castlehaven Community Centre,,23 Castlehaven Road,,NW1 8RU,7845,School/college/university,1097400,FHRS,0,0,10,4,16/11/2018,False,182421,506,Camden,foodsafety@camden.gov.uk,http://www.camden.gov.uk,E05000130,Camden Town with Primrose Hill,528762,184289,-0.144603,51.542812,Unknown,12/01/2020,"(51.542812, -0.144603)",http://opendatacommunities.org/id/london-borough-council/camden,3,17
Brondes Age,,328 Kilburn High Road,,NW6 2QN,7843,Pub/bar/nightclub,1097469,FHRS,5,15,10,2,20/11/2018,False,76990,506,Camden,foodsafety@camden.gov.uk,http://www.camden.gov.uk,E05000140,Kilburn,524807,184456,-0.201541,51.545207,Unknown,12/01/2020,"(51.545207, -0.201541)",http://opendatacommunities.org/id/london-borough-council/camden,13,90
Starbucks Coffee Company,Swan House,37-39 High Holborn,,WC1V 6AA,1,Restaurant/Cafe/Canteen,424820,FHRS,0,5,0,5,25/01/2019,False,35519,506,Camden,foodsafety@camden.gov.uk,http://www.camden.gov.uk,E05000138,Holborn and Covent Garden,530963,181633,-0.11387,51.518437,Unknown,12/01/2020,"(51.518437, -0.11387)",http://opendatacommunities.org/id/london-borough-council/camden,11,73
Cafe Hampstead,,48 Rosslyn Hill,,NW3 1NH,1,Restaurant/Cafe/Canteen,1105520,FHRS,15,15,20,1,14/12/2018,False,196149,506,Camden,foodsafety@camden.gov.uk,http://www.camden.gov.uk,E05000135,Hampstead Town,526753,185604,-0.173085,51.555084,Unknown,12/01/2020,"(51.555084, -0.173085)",http://opendatacommunities.org/id/london-borough-council/camden,8,53
Eillen Lovelidge,Pitch 1 Outside 100 Kilburn High Road,Birchington Road,,NW6 4HX,7844,Takeaway/sandwich shop,1077463,FHRS,10,10,10,3,07/09/2018,False,195491,506,Camden,foodsafety@camden.gov.uk,http://www.camden.gov.uk,,,,,,,Unknown,12/01/2020,,http://opendatacommunities.org/id/london-borough-council/camden,,
Pomona Foods Ltd,,179 Haverstock Hill,,NW3 4QS,4613,Retailers - other,424758,FHRS,5,5,10,4,16/11/2017,False,3304,506,Camden,foodsafety@camden.gov.uk,http://www.camden.gov.uk,E05000128,Belsize,527329,185070,-0.164974,51.550164,Unknown,12/01/2020,"(51.550164, -0.164974)",http://opendatacommunities.org/id/london-borough-council/camden,1,8
Mr Lee Chinese Food Take Away,,238 Belsize Road,,NW6 4BT,7844,Takeaway/sandwich shop,866113,FHRS,15,15,10,2,09/05/2019,False,181080,506,Camden,foodsafety@camden.gov.uk,http://www.camden.gov.uk,E05000140,Kilburn,525565,183734,-0.190878,51.538544,Unknown,12/01/2020,"(51.538544, -0.190878)",http://opendatacommunities.org/id/london-borough-council/camden,13,89
"Upper Crust, Barrier Line","Unit 23, Euston Station",Eversholt Street,,NW1 2DU,7844,Takeaway/sandwich shop,424182,FHRS,5,5,0,5,19/12/2017,False,20827,506,Camden,foodsafety@camden.gov.uk,http://www.camden.gov.uk,E05000142,Regent's Park,529587,182736,-0.13327,51.528668,Unknown,12/01/2020,"(51.528668, -0.13327)",http://opendatacommunities.org/id/london-borough-council/camden,15,104
Native Beauty Ltd,,71-75 Shelton Street,,WC2H 9HE,14,Importers/Exporters,1206198,FHRS,,,,Exempt,,False,83825,506,Camden,foodsafety@camden.gov.uk,http://www.camden.gov.uk,E05000138,Holborn and Covent Garden,530274,181191,-0.123957,51.514626,Unknown,12/01/2020,"(51.514626, -0.123957)",http://opendatacommunities.org/id/london-borough-council/camden,11,77
The Good Mixer,,28-30 Inverness Street,,NW1 7HJ,7843,Pub/bar/nightclub,425792,FHRS,10,5,10,3,16/02/2019,False,6093,506,Camden,foodsafety@camden.gov.uk,http://www.camden.gov.uk,E05000130,Camden Town with Primrose Hill,528770,183922,-0.144622,51.539512,Unknown,12/01/2020,"(51.539512, -0.144622)",http://opendatacommunities.org/id/london-borough-council/camden,3,22
Deli-Licious 2go,,203 King's Cross Road,,WC1X 9DB,1,Restaurant/Cafe/Canteen,979448,FHRS,,,,5,08/06/2017,False,82885,506,Camden,foodsafety@camden.gov.uk,http://www.camden.gov.uk,E05000141,King's Cross,530567,182984,-0.119069,51.530678,Unknown,12/01/2020,"(51.530678, -0.119069)",http://opendatacommunities.org/id/london-borough-council/camden,14,97
Hampstead School Catering,Hampstead School,Westbere Road,,NW2 3RT,7845,School/college/university,1105494,FHRS,0,5,0,5,23/01/2019,False,194389,506,Camden,foodsafety@camden.gov.uk,http://www.camden.gov.uk,E05000132,Fortune Green,524398,185604,-0.207021,51.555615,Unknown,12/01/2020,"(51.555615, -0.207021)",http://opendatacommunities.org/id/london-borough-council/camden,5,30
Marks & Spencer Simply Food,,151 Finchley Road,,NW3 6JH,7840,Retailers - supermarkets/hypermarkets,424962,FHRS,0,0,5,5,08/11/2017,False,41971,506,Camden,foodsafety@camden.gov.uk,http://www.camden.gov.uk,E05000144,Swiss Cottage,526589,184378,-0.175889,51.544112,Unknown,12/01/2020,"(51.544112, -0.175889)",http://opendatacommunities.org/id/london-borough-council/camden,17,122
Boots,"Unit 12 West Concourse, Kings",Euston Road,,N1C 4AL,4613,Retailers - other,688191,FHRS,0,0,0,5,19/10/2018,False,72894,506,Camden,foodsafety@camden.gov.uk,http://www.camden.gov.uk,E05000143,St Pancras and Somers Town,530234,182942,-0.123873,51.530377,Unknown,12/01/2020,"(51.530377, -0.123873)",http://opendatacommunities.org/id/london-borough-council/camden,16,112
Greenland Butchers,,10 Greenland Road,,NW1 0AY,4613,Retailers - other,424234,FHRS,15,15,20,1,15/07/2019,False,21251,506,Camden,foodsafety@camden.gov.uk,http://www.camden.gov.uk,E05000130,Camden Town with Primrose Hill,529033,183900,-0.14084,51.539263,Unknown,12/01/2020,"(51.539263, -0.14084)",http://opendatacommunities.org/id/london-borough-council/camden,3,20
Mr G Long,Holborn Underground Station,88-94 Kingsway,,WC2B 6AA,4613,Retailers - other,425848,FHRS,0,5,5,5,19/04/2018,False,61572,506,Camden,foodsafety@camden.gov.uk,http://www.camden.gov.uk,E05000138,Holborn and Covent Garden,530554,181489,-0.119814,51.517238,Unknown,12/01/2020,"(51.517238, -0.119814)",http://opendatacommunities.org/id/london-borough-council/camden,11,73
Pizza Direct,,179 York Way,,N7 9LN,4613,Retailers - other,1157011,FHRS,15,15,10,2,11/07/2019,False,196787,506,Camden,foodsafety@camden.gov.uk,http://www.camden.gov.uk,E05000131,Cantelowes,529833,184959,-0.128921,51.548588,Unknown,12/01/2020,"(51.548588, -0.128921)",http://opendatacommunities.org/id/london-borough-council/camden,4,28
Duo Restaurant and Club,,20 Inverness Street,,NW1 7HJ,7843,Pub/bar/nightclub,1155695,FHRS,15,10,10,2,20/06/2019,False,196412,506,Camden,foodsafety@camden.gov.uk,http://www.camden.gov.uk,E05000130,Camden Town with Primrose Hill,528786,183933,-0.144388,51.539607,Unknown,12/01/2020,"(51.539607, -0.144388)",http://opendatacommunities.org/id/london-borough-council/camden,3,22
The Washington,,50 England's Lane,,NW3 4UE,7843,Pub/bar/nightclub,425038,FHRS,5,5,5,5,20/11/2019,False,4548,506,Camden,foodsafety@camden.gov.uk,http://www.camden.gov.uk,E05000128,Belsize,527488,184586,-0.162857,51.54577,Unknown,12/01/2020,"(51.54577, -0.162857)",http://opendatacommunities.org/id/london-borough-council/camden,1,4
Just Hospitality,Offices And Premises At 5th Floor,125 Shaftesbury Avenue,,WC2H 8AD,1,Restaurant/Cafe/Canteen,979441,FHRS,5,5,5,5,14/06/2017,False,180319,506,Camden,foodsafety@camden.gov.uk,http://www.camden.gov.uk,E05000138,Holborn and Covent Garden,529939,181107,-0.1288,51.513947,Unknown,12/01/2020,"(51.513947, -0.1288)",http://opendatacommunities.org/id/london-borough-council/camden,11,78
St Joseph's Catholic Primary School,,Macklin Street,,WC2B 5NA,7845,School/college/university,423986,FHRS,0,0,0,5,23/09/2019,False,1761,506,Camden,foodsafety@camden.gov.uk,http://www.camden.gov.uk,E05000138,Holborn and Covent Garden,530416,181368,-0.121832,51.51619,Unknown,12/01/2020,"(51.51619, -0.121832)",http://opendatacommunities.org/id/london-borough-council/camden,11,77
Banh Mi Bay,,4-6 Theobald's Road,,WC1X 8PN,1,Restaurant/Cafe/Canteen,426052,FHRS,10,10,10,3,31/10/2018,False,65150,506,Camden,foodsafety@camden.gov.uk,http://www.camden.gov.uk,E05000138,Holborn and Covent Garden,530955,181976,-0.113857,51.521522,Unknown,12/01/2020,"(51.521522, -0.113857)",http://opendatacommunities.org/id/london-borough-council/camden,11,79
Biotech Pharmacy,,96 Camden Road,,NW1 9EA,4613,Retailers - other,424100,FHRS,,,,Exempt,13/01/2017,False,20365,506,Camden,foodsafety@camden.gov.uk,http://www.camden.gov.uk,E05000130,Camden Town with Primrose Hill,529190,184136,-0.138491,51.541339,Unknown,12/01/2020,"(51.541339, -0.138491)",http://opendatacommunities.org/id/london-borough-council/camden,3,20
Authentique Epicerie and Bar,,114-116 Fortess Road,,NW5 2HL,1,Restaurant/Cafe/Canteen,1049959,FHRS,5,10,10,3,25/04/2018,False,194692,506,Camden,foodsafety@camden.gov.uk,http://www.camden.gov.uk,E05000139,Kentish Town,529103,185702,-0.139171,51.555433,Unknown,12/01/2020,"(51.555433, -0.139171)",http://opendatacommunities.org/id/london-borough-council/camden,12,80
Le Pain Quotidien,,46 Hampstead High Street,,NW3 1QG,1,Restaurant/Cafe/Canteen,931980,FHRS,10,10,5,3,20/07/2017,False,79396,506,Camden,foodsafety@camden.gov.uk,http://www.camden.gov.uk,E05000135,Hampstead Town,526409,185758,-0.177989,51.556545,Unknown,12/01/2020,"(51.556545, -0.177989)",http://opendatacommunities.org/id/london-borough-council/camden,8,54
Mindshare,,1 St Giles High Street,,WC2H 8AG,1,Restaurant/Cafe/Canteen,1129760,FHRS,5,5,0,5,21/02/2019,False,196284,506,Camden,foodsafety@camden.gov.uk,http://www.camden.gov.uk,E05000138,Holborn and Covent Garden,530035,181347,-0.127342,51.516081,Unknown,12/01/2020,"(51.516081, -0.127342)",http://opendatacommunities.org/id/london-borough-council/camden,11,78
Guanabana,,85 Kentish Town Road,,NW1 8NY,1,Restaurant/Cafe/Canteen,426117,FHRS,10,10,10,3,27/09/2016,False,66891,506,Camden,foodsafety@camden.gov.uk,http://www.camden.gov.uk,E05000130,Camden Town with Primrose Hill,528943,184352,-0.141972,51.543337,Unknown,12/01/2020,"(51.543337, -0.141972)",http://opendatacommunities.org/id/london-borough-council/camden,3,15
Semola,1 The Stables Market,Chalk Farm Road,,NW1 8AH,4613,Retailers - other,1155698,FHRS,5,5,10,4,19/06/2019,False,196625,506,Camden,foodsafety@camden.gov.uk,http://www.camden.gov.uk,E05000130,Camden Town with Primrose Hill,528546,184231,-0.147738,51.54234,Unknown,12/01/2020,"(51.54234, -0.147738)",http://opendatacommunities.org/id/london-borough-council/camden,3,17
Miamel Crepes,Bloomsbury Market,Malet Street,,WC1E 7HY,7844,Takeaway/sandwich shop,1031157,FHRS,20,5,20,1,31/10/2019,False,194253,506,Camden,foodsafety@camden.gov.uk,http://www.camden.gov.uk,E05000129,Bloomsbury,529753,182074,-0.131123,51.522687,Unknown,12/01/2020,"(51.522687, -0.131123)",http://opendatacommunities.org/id/london-borough-council/camden,2,9
Pret A Manger,,237 Tottenham Court Road,,W1T 7QW,7844,Takeaway/sandwich shop,426323,FHRS,0,5,0,5,24/09/2019,False,71619,506,Camden,foodsafety@camden.gov.uk,http://www.camden.gov.uk,E05000129,Bloomsbury,529261,182317,-0.138122,51.524979,Unknown,12/01/2020,"(51.524979, -0.138122)",http://opendatacommunities.org/id/london-borough-council/camden,2,13
Tinseltown Ltd,,104 Heath Street,,NW3 1DR,1,Restaurant/Cafe/Canteen,425118,FHRS,0,10,5,4,13/06/2017,False,48254,506,Camden,foodsafety@camden.gov.uk,http://www.camden.gov.uk,E05000135,Hampstead Town,526382,186010,-0.178287,51.558825,Unknown,12/01/2020,"(51.558825, -0.178287)",http://opendatacommunities.org/id/london-borough-council/camden,8,58
Moonlight Cafe,,231 Brecknock Road,,N19 5AA,1,Restaurant/Cafe/Canteen,423869,FHRS,0,0,5,5,27/03/2018,False,14069,506,Camden,foodsafety@camden.gov.uk,http://www.camden.gov.uk,E05000139,Kentish Town,529164,185817,-0.138249,51.556452,Unknown,12/01/2020,"(51.556452, -0.138249)",http://opendatacommunities.org/id/london-borough-council/camden,12,80
Flat Iron,,9 Denmark Street,,WC2H 8LS,1,Restaurant/Cafe/Canteen,943069,FHRS,0,5,0,5,14/11/2018,False,81070,506,Camden,foodsafety@camden.gov.uk,http://www.camden.gov.uk,E05000138,Holborn and Covent Garden,529881,181230,-0.129597,51.515072,Unknown,12/01/2020,"(51.515072, -0.129597)",http://opendatacommunities.org/id/london-borough-council/camden,11,78
Pinocchio,St Cuthberts Church,Fordwych Road,,NW2 3TN,4613,Retailers - other,424763,FHRS,5,5,5,5,07/02/2019,False,33204,506,Camden,foodsafety@camden.gov.uk,http://www.camden.gov.uk,E05000132,Fortune Green,524758,184867,-0.202093,51.548913,Unknown,12/01/2020,"(51.548913, -0.202093)",http://opendatacommunities.org/id/london-borough-council/camden,5,35
Cafe at the Inst of Advanced Legal Study,Charles Clore House,17 Russell Square,,WC1B 5DR,1,Restaurant/Cafe/Canteen,424372,FHRS,5,5,5,5,10/05/2018,False,22373,506,Camden,foodsafety@camden.gov.uk,http://www.camden.gov.uk,E05000129,Bloomsbury,530011,182058,-0.127425,51.522484,Unknown,12/01/2020,"(51.522484, -0.127425)",http://opendatacommunities.org/id/london-borough-council/camden,2,14
Brasserie Blanc,,8 Charlotte Street,,W1T 2LS,1,Restaurant/Cafe/Canteen,507266,FHRS,5,0,5,5,24/09/2018,False,75357,506,Camden,foodsafety@camden.gov.uk,http://www.camden.gov.uk,E05000129,Bloomsbury,529539,181587,-0.134393,51.518359,Unknown,12/01/2020,"(51.518359, -0.134393)",http://opendatacommunities.org/id/london-borough-council/camden,2,9
Better Coffee Corner,,32 Endell Street,,WC2H 9AG,7844,Takeaway/sandwich shop,998763,FHRS,0,0,0,5,08/02/2017,False,182232,506,Camden,foodsafety@camden.gov.uk,http://www.camden.gov.uk,E05000138,Holborn and Covent Garden,530138,181303,-0.125875,51.515662,Unknown,12/01/2020,"(51.515662, -0.125875)",http://opendatacommunities.org/id/london-borough-council/camden,11,78
Northbridge House,,33 Fitzjohn's Avenue,,NW3 5JY,7845,School/college/university,424198,FHRS,0,0,0,5,10/09/2019,False,20974,506,Camden,foodsafety@camden.gov.uk,http://www.camden.gov.uk,E05000133,Frognal and Fitzjohns,526550,184913,-0.176259,51.548929,Unknown,12/01/2020,"(51.548929, -0.176259)",http://opendatacommunities.org/id/london-borough-council/camden,6,42
Sweet Exspress,Unit 2 Block D,1 Eversholt Street,,NW1 2DN,4613,Retailers - other,1006881,FHRS,0,5,5,5,02/10/2017,False,193471,506,Camden,foodsafety@camden.gov.uk,http://www.camden.gov.uk,E05000142,Regent's Park,529667,182668,-0.132156,51.528046,Unknown,12/01/2020,"(51.528046, -0.132156)",http://opendatacommunities.org/id/london-borough-council/camden,15,104
The Queens Larder,,1 Queen Square,,WC1N 3AR,7843,Pub/bar/nightclub,426505,FHRS,0,10,10,4,22/10/2018,False,8925,506,Camden,foodsafety@camden.gov.uk,http://www.camden.gov.uk,E05000138,Holborn and Covent Garden,530356,181925,-0.122505,51.521211,Unknown,12/01/2020,"(51.521211, -0.122505)",http://opendatacommunities.org/id/london-borough-council/camden,11,73
